DATA AS OF,DEVELOPMENT,HUD AMP#,TDS#,CONSOLIDATED TDS#,DEVELOPMENT EDP#,OPERATING EDP#,HUD #,PROGRAM,METHOD,TYPE,NUMBER OF SECTION 8 TRANSITION APARTMENTS,NUMBER OF CURRENT APARTMENTS,TOTAL NUMBER OF APARTMENTS,NUMBER OF RENTAL ROOMS,AVG NO R/R PER APARTMENT,POPULATION SECTION 8 TRANSITION,POPULATION PUBLIC HOUSING,TOTAL POPULATION,TOTAL # OF FIXED INCOME HOUSEHOLD,PERCENT FIXED INCOME HOUSEHOLDS,NUMBER OF RESIDENTIAL BLDGS,NUMBER OF NON-RESIDENTIAL BLDGS,NUMBER OF STAIRHALLS,NUMBER OF STORIES,TOTAL AREA SQ FT,ACRES,NET DEV AREA SQ FT,EXCLUDING PARK ACRES,BLDG COVERAGE SQ FT,CUBAGE CU FT,BLDG COVERAGE %,DENSITY,DEVELOPMENT COST,PER RENTAL ROOM,AVG MONTHLY GROSS RENT,LOCATION STREET A,LOCATION STREET B,LOCATION STREET C,LOCATION STREET D,BOROUGH,COMMUNITY DISTIRCT,US CONGRESSIONAL DISTRICT,NY STATE SENATE DISTRICT,NY STATE ASSEMBLY DISTRICT,NY CITY COUNCIL DISTRICT,COMPLETION DATE,FEDERALIZED DEVELOPMENT,SENIOR DEVELOPMENT,ELECTRICITY PAID BY RESIDENTS,PRIVATE MANAGEMENT,RAD TRANSFERRED DATE
1/1/2024,1010 EAST 178TH STREET,NY005011330,180,180,289,289,NY005090,FEDERAL,CONVENTIONAL,NEW CONST,0,205,220,868.5,4.24,0,413,413,103,0.5024,1,0,1,21,"88,172.00",2.02,"88,172",2.02,"14,961","1,841,787",16.97%,204,"$5,031,405","$5,341",$488,E TREMONT AVE,BRYANT AVE,E 178TH ST,BOSTON RD,BRONX,6,15,32,87,15,3/31/1971,,,,,
1/1/2024,1162-1176 WASHINGTON AVENUE,NY005013080,233,308,354,344,NY005138,FEDERAL,TURNKEY,REHAB,0,65,66,293.5,4.52,0,141,141,22,0.3793,1,0,1,6,"18,987.00",0.44,"18,987",0.44,"12,231","851,926",64.42%,320,"$2,205,187","$7,302",$502,E 167TH ST,E 168TH ST,THIRD AVE,WASHINGTON AVE,BRONX,3,15,32,79,16,12/31/1975,,,,,
1/1/2024,131 SAINT NICHOLAS AVENUE,NY005010970,154,97,264,261,NY005065,FEDERAL,CONVENTIONAL,NEW CONST,0,88,100,350,3.98,0,157,157,47,0.5341,1,0,1,17,"29,359.00",0.67,"29,359",0.67,"5,759","771,591",19.62%,234,"$1,880,013","$4,694",$514,SAINT NICHOLAS AVE,W 116TH ST,W 117TH ST,,MANHATTAN,10,13,30,70,9,3/31/1965,,,,,
1/1/2024,1471 WATSON AVENUE,NY005010670,214,67,332,222,NY005162,FEDERAL,TURNKEY,NEW CONST,0,96,96,386,4.02,0,116,116,41,0.5395,1,0,1,6,"39,937.00",0.92,"39,937",0.92,"13,337","810,629",33.40%,126,"$2,278,928","$5,814",$517,WATSON AVE,COLGATE AVE,EVERGREEN AVE,,BRONX,9,14,32,85,17,12/31/1970,,,,,
1/1/2024,154 WEST 84TH STREET,NY005013590,359,359,840,840,NY005270,FEDERAL,TURNKEY,NEW CONST,0,35,35,157.5,4.5,0,65,65,14,0.4,1,0,1,7,"9,621.00",0.22,"9,621",0.22,"5,774","361,857",60.01%,295,"$4,503,296","$28,412",$698,AMSTERDAM AVE,W 84TH ST,COLUMBUS AVE,,MANHATTAN,7,12,47,69,6,3/31/1996,,,YES,YES,
1/1/2024,303 VERNON AVENUE,NY005010730,156,73,267,267,NY005068,FEDERAL,CONVENTIONAL,NEW CONST,0,234,234,"1,101.00",4.71,0,480,480,96,0.4424,1,0,1,24,"110,000.00",2.53,"110,000",2.53,"11,311","2,207,369",10.28%,190,"$4,703,702","$4,272",$543,VERNON AVE,MARCUS GARVEY BLVD,MYRTLE AVE,,BROOKLYN,3,8,25,56,36,5/31/1967,,,,,
1/1/2024,45 ALLEN STREET,NY005011000,265,100,380,312,NY005186,FEDERAL,TURNKEY,NEW CONST,0,106,107,530,5,0,213,213,46,0.4381,1,1,1,14,"39,609.00",0.91,"39,609",0.91,"8,031","950,162",20.28%,234,"$4,290,021","$7,981",$805,GRAND ST,ALLEN ST,HESTER ST,ELDRIDGE ST,MANHATTAN,3,10,27,65,1,7/31/1974,,,,,
1/1/2024,830 AMSTERDAM AVENUE,NY005010820,150,82,258,258,NY005059,FEDERAL,CONVENTIONAL,NEW CONST,0,159,159,725.5,4.56,0,330,330,65,0.4167,1,0,1,20,"28,690.00",0.66,"28,690",0.66,"7,750","1,375,740",27.01%,500,"$3,631,814","$4,992",$631,W 101ST ST,AMSTERDAM AVE,W 100TH ST,,MANHATTAN,7,12,30,69,7,8/31/1965,,,,,
1/1/2024,ADAMS,NY005001180,118,118,248,248,NY005049,FEDERAL,CONVENTIONAL,NEW CONST,0,924,925,"4,305.00",4.66,0,"2,043","2,043",403,0.4574,7,0,7,15–21,"408,888.00",9.39,"383,068",8.79,"56,283","8,181,502",13.76%,218,"$17,878,818","$4,149",$547,WESTCHESTER AVE,UNION AVE,E 152ND ST,,BRONX,1,15,29,84,8,8/31/1964,,,,,
1/1/2024,ALBANY,NY005010310,31,31,524,524,NY005216C,FEDERAL,CONVENTIONAL,NEW CONST,0,817,829,"3,751.50",4.59,0,"1,708","1,708",320,0.4097,6,0,6,14,"388,389.00",8.92,"388,389",8.92,"58,455","7,082,630",15.05%,191,"$8,951,000","$2,356",$618,ALBANY AVE,SAINT MARKS AVE,TROY AVE,PARK PL,BROOKLYN,8,9,20,43,36,10/14/1950,1978/02/01-ATP 2,,,,
